10N	35.25	14.00	90.00		C0805
10N1	35.25	57.75	90.00		C0805
BC1	34.75	47.25	0.00		SOT23-BEC
BC856	34.75	3.50	0.00		SOT23-BEC
SJ10	9.00	65.50	270.00		SJ
SJ3	9.00	21.75	270.00		SJ
U1	47.00	10.85	270.00		ESP12E-SMD
U2	47.00	54.60	270.00		ESP12E-SMD
XC1	34.75	51.75	180.00		SOT23
XC6206	34.75	8.00	180.00		SOT23
